Question
"How much do you enjoy subjects like Math and Science? (0 = Not at all, 5 = Very much)"
"How interested are you in pursuing Engineering or Technical fields? (0 = Not interested, 5 = Very interested)"
"How comfortable are you with using computers and technology? (0 = Not comfortable, 5 = Very comfortable)"
"Do you prefer hands-on practical work over theoretical study? (0 = Strongly disagree, 5 = Strongly agree)"
"How much do you enjoy working with numbers and solving mathematical problems? (0 = Not at all, 5 = Very much)"
"Are you interested in learning about business operations and finance? (0 = Not interested, 5 = Very interested)"
"How much do you enjoy designing and creating things? (0 = Not at all, 5 = Very much)"
"How interested are you in healthcare and wellness fields? (0 = Not interested, 5 = Very interested)"
"Do you enjoy working with machines and understanding how they function? (0 = Not at all, 5 = Very much)"
"How interested are you in coding and software development? (0 = Not interested, 5 = Very interested)"
"Do you enjoy analyzing data and making sense of information? (0 = Not at all, 5 = Very much)"
"How important is job stability when considering your future career? (0 = Not important, 5 = Very important)"
"Are you interested in environmental issues and sustainability? (0 = Not interested, 5 = Very interested)"
"How much do you care about making a positive impact on society? (0 = Not at all, 5 = Very much)"
"How interested are you in the hospitality and tourism industry? (0 = Not interested, 5 = Very interested)"
"How passionate are you about media and communication? (0 = Not passionate, 5 = Very passionate)"
"How much do you enjoy solving complex scientific problems? (0 = Not at all, 5 = Very much)"
"How interested are you in managing projects or leading teams? (0 = Not interested, 5 = Very interested)"
"Do you prefer courses that involve a lot of teamwork or group projects? (0 = Strongly disagree, 5 = Strongly agree)"
"How important is it for you to have the opportunity to work internationally in your career? (0 = Not important, 5 = Very important)"
"How much do you enjoy practical design and creative arts? (0 = Not at all, 5 = Very much)"
"Are you interested in studying the life sciences or health sciences? (0 = Not interested, 5 = Very interested)"
"How much do you value sustainability and green technologies in your career choice? (0 = Not at all, 5 = Very much)"
"Do you have a strong interest in technology trends like AI and Data Science? (0 = Not interested, 5 = Very interested)"
"How much do you enjoy exploring cultural and social issues? (0 = Not at all, 5 = Very much)"
