year,school,course_name,course_code,course_description,reference
2023,School of Business & Accountancy,Diploma in Accountancy,N51,"Diploma in Accountancy (N51) equips students with core business knowledge and specialised training in reporting, taxation, assurance and corporate finance, as well as the capability to leverage on financial information for making business decisions related to strategy, governance and sustainability. 
The curriculum allows students to execute cross-domain projects, explore the latest digitalisation tools, collaborate with industry partners and experience technology in the teaching and learning.
Every student has a choice to complete a 6-month or 1-year internship (JobReady Programme), or 1-semester Business Digitalisation track and will obtain a minor in an area of student?s choice through the personalised learning pathway.",https://www.np.edu.sg/schools-courses/academic-schools/school-of-business-accountancy/diploma-in-accountancy
2023,School of Business & Accountancy,Diploma in Banking & Finance,N53,"Diploma in Banking & Finance (N53) equips students with knowledge on banking and finance business as well as trends, emerging technology, and how future banks operate in the real world. 
The curriculum allows students to immerse in the Fintech ecosystem, collaborate with industry partners, execute cross-domain projects, explore the latest digitalisation tools, tap on technology to deliver financial and banking solutions; and incorporate environmental, social and governance (ESG) considerations into financial decisions.
Every student has a choice to complete a 6-month or 1-year internship (JobReady Programme), and will obtain a minor in an area of student?s choice through the personalised learning pathway.",https://www.np.edu.sg/schools-courses/academic-schools/school-of-business-accountancy/diploma-in-banking-finance
2023,School of Business & Accountancy,Diploma in Business Studies,N45,"Diploma in Business Studies (N45) equips students with core business knowledge and covers all aspects of a business operation across different industry sectors.� Students have a choice of 4 specialisations starting in the second year.� 
The curriculum allows students to execute cross-domain projects, explore the latest digitalisation tools, collaborate with industry partners and experience technology in the teaching and learning.
Every student has a choice to complete a 6-month or 1-year internship (JobReady Programme), or 1-year Business Digitalisation track and will obtain a minor in an area of student?s choice through the personalised learning pathway.",https://www.np.edu.sg/schools-courses/academic-schools/school-of-business-accountancy/diploma-in-business-studies
2023,School of Business & Accountancy,Common Business Programme,N97,"Common Business Programme (N97) equips students with core business knowledge and lays a strong foundation in entrepreneurial traits, while letting students explore their interest in various business disciplines before they rank their choice of the preferred business diploma courses at the end of Year 1.",https://www.np.edu.sg/schools-courses/academic-schools/school-of-business-accountancy/common-business-programme
2023,School of Business & Accountancy,Diploma in International Trade & Business,N85,"Diploma in International Trade & Business (N85) equips students with specialised knowledge and skills to manage operations and transformation in trade, supply chain and logistics.
The curriculum focuses on technology, business transformation, sustainability, industry collaboration, cross-disciplinary learning and critical core skills to future-ready students to carve out a career across a diverse range of industries.
Every student has a choice to complete a 6-month or 1-year internship (JobReady Programme), and will obtain a minor in an area of student?s choice through the personalised learning pathway.",https://www.np.edu.sg/schools-courses/academic-schools/school-of-business-accountancy/diploma-in-international-trade-business
2023,School of Business & Accountancy,Diploma in Tourism & Resort Management,N72,"Diploma in Tourism & Resort Management (N72) equips students with core business knowledge and core competencies in the key sectors of the tourism industry such as hospitality, travel, leisure and lifestyle, and the MICE (Meetings, Incentives, Conventions and Exhibitions) sector. 
The curriculum allows students to execute cross-domain projects, explore the latest digitalisation tools, collaborate with industry partners and experience technology in the teaching and learning. 
Every student has a choice to complete a 6-month or 1-year internship (JobReady Programme), Tourism Startup Internship Project or 1-year Business Digitalisation track, and will obtain a minor in an area of student?s choice through the personalised learning pathway.",https://www.np.edu.sg/schools-courses/academic-schools/school-of-business-accountancy/diploma-in-tourism-resort-management
2023,School of Design & Environment,Diploma in Design,N12,Diploma in Design (N12) has 2 specialisations: Architecture and Product Innovation. Students will acquire a broad based knowledge of design before specialising. The emphasis will be on Studio Based Learning.,https://www.np.edu.sg/schools-courses/academic-schools/school-of-design-environment/diploma-in-design
2023,School of Design & Environment,Diploma in Hotel & Leisure Facilities Management,N40,Diploma in Hotel & Leisure Facilities Management (N40) trains a new breed of hospitality and facility managers to manage modern facilities and bring them to a higher level of management.,https://www.np.edu.sg/schools-courses/academic-schools/school-of-design-environment/diploma-in-hotel-leisure-facilities-management
2023,School of Design & Environment,Diploma in Real Estate Business,N48,Diploma in Real Estate Business (N48) is the only one course of its kind amongst the polytechnics that trains you in both the business and management aspects of real estate.,https://www.np.edu.sg/schools-courses/academic-schools/school-of-design-environment/diploma-in-real-estate-business
2023,School of Engineering,Diploma in Aerospace Engineering,N65,"Diploma in Aerospace Engineering (N65) equips students with competencies in maintenance, repair and overhaul (MRO) of aircraft and related infrastructure. Our graduates have the option to specialize in either avionics or mechanical trade.",https://www.np.edu.sg/schools-courses/academic-schools/school-of-engineering/diploma-in-aerospace-engineering
2023,School of Engineering,Diploma in Automation & Mechatronic Systems,N50,Diploma in Automation & Mechatronic Systems (N50) prepares students for careers in the automation industries. Students will learn to use automation and mechatronic technology to develop solutions for consumer products and industrial applications.,https://www.np.edu.sg/schools-courses/academic-schools/school-of-engineering/diploma-in-automation-mechatronic-systems
2023,School of Engineering,Diploma in Biomedical Engineering,N60,"Diploma in Biomedical Engineering (N60) provides a broad-based and practice-oriented training to design, develop and/or service medical devices and equipment, including body implants and rehabilitation products for the healthcare industry.",https://www.np.edu.sg/schools-courses/academic-schools/school-of-engineering/diploma-in-biomedical-engineering
2023,School of Engineering,Common Engineering Programme,N71,Common Engineering Programme (N71)�provides broad-based engineering foundation for students to choose either Mechanical or Electrical/Electronic track at end of 1st semester. Students learn modules of chosen track before deciding one of the 8 courses to major in at end of 2nd semester.,https://www.np.edu.sg/schools-courses/academic-schools/school-of-engineering/common-engineering-programme
2023,School of Engineering,Diploma in Electrical Engineering,N43,Diploma in Electrical Engineering (N43) equips students with knowledge and skills to enter the growing and exciting clean energy and electrical industry. The Diploma has 2 specialisations: Clean Energy Management and Power Engineering.,https://www.np.edu.sg/schools-courses/academic-schools/school-of-engineering/diploma-in-electrical-engineering
2023,School of Engineering,Diploma in Electronic & Computer Engineering,N44,"Diploma in Electronic & Computer Engineering (N44) equips students with knowledge and skills in both Electronic and Computer foundations (especially in the core areas of circuit and system design, programming and computer networking) and emerging skills such as Internet of Things (IoTs) and Data Analytics.",https://www.np.edu.sg/schools-courses/academic-schools/school-of-engineering/diploma-in-electronic-computer-engineering
2023,School of Engineering,Diploma in Engineering Science,N93,Diploma in Engineering Science (N93) bridges the gap between science and practical engineering.  It prepares graduates for future careers in research & development (R&D) and for further studies.,https://www.np.edu.sg/schools-courses/academic-schools/school-of-engineering/diploma-in-engineering-science
2023,School of Engineering,Diploma in Marine & Offshore Technology,N42,"Diploma in Marine & Offshore Technology (N42) equips students with the appropriate technical knowledge, management and communication skills to be assistant engineers, technologists or supervisors in the marine and offshore industry.",https://www.np.edu.sg/schools-courses/academic-schools/school-of-engineering/diploma-in-marine-offshore-technology
